iter	Passed	Remaining
624	4080	2448
625	4086	2441
626	4091	2434
627	4096	2426
628	4102	2419
629	4107	2412
630	4112	2404
631	4118	2398
632	4124	2391
633	4129	2383
634	4135	2376
635	4140	2369
636	4145	2362
637	4152	2355
638	4157	2348
639	4162	2341
640	4169	2335
641	4174	2327
642	4179	2320
643	4185	2313
644	4190	2306
645	4196	2299
646	4203	2293
647	4208	2286
648	4214	2279
649	4219	2272
650	4224	2264
651	4231	2258
652	4236	2251
653	4240	2243
654	4246	2236
655	4251	2229
656	4256	2222
657	4261	2214
658	4267	2208
659	4272	2200
660	4278	2194
661	4283	2186
662	4288	2179
663	4293	2172
664	4300	2166
665	4307	2160
666	4315	2154
667	4320	2147
668	4326	2140
669	4332	2133
670	4337	2126
671	4343	2120
672	4348	2112
673	4353	2105
674	4359	2098
675	4364	2091
676	4370	2085
677	4375	2078
678	4381	2071
679	4388	2064
680	4394	2058
681	4399	2051
682	4404	2044
683	4411	2037
684	4416	2030
685	4421	2023
686	4427	2017
687	4433	2010
688	4438	2003
689	4445	1997
690	4451	1990
691	4457	1983
692	4463	1977
693	4468	1970
694	4474	1963
695	4479	1956
696	4484	1949
697	4489	1942
698	4495	1935
699	4499	1928
700	4505	1921
701	4511	1915
702	4516	1908
703	4521	1900
704	4528	1894
705	4533	1887
706	4539	1881
707	4544	1874
708	4549	1867
709	4554	1860
710	4560	1853
711	4565	1846
712	4572	1840
713	4577	1833
714	4582	1826
715	4588	1819
716	4593	1812
717	4598	1806
718	4604	1799
719	4609	1792
720	4615	1785
721	4621	1779
722	4627	1772
723	4633	1766
724	4641	1760
725	4647	1754
726	4655	1748
727	4662	1741
728	4669	1735
729	4676	1729
730	4682	1723
731	4689	1717
732	4696	1710
733	4704	1704
734	4711	1698
735	4718	1692
736	4725	1686
737	4731	1679
738	4740	1674
739	4746	1667
740	4755	1662
741	4761	1655
742	4768	1649
743	4773	1642
744	4778	1635
745	4784	1628
746	4789	1622
747	4794	1615
748	4800	1608
749	4805	1601
750	4810	1594
751	4816	1588
752	4821	1581
753	4826	1574
754	4832	1568
755	4839	1561
756	4844	1555
757	4851	1548
758	4856	1542
759	4862	1535
760	4868	1528
761	4877	1523
762	4884	1517
763	4889	1510
764	4895	1503
765	4902	1497
766	4907	1490
767	4912	1484
768	4918	1477
769	4923	1470
770	4927	1463
771	4933	1457
772	4938	1450
773	4943	1443
774	4951	1437
775	4956	1430
776	4961	1423
777	4967	1417
778	4973	1410
779	4979	1404
780	4984	1397
781	4989	1390
782	4994	1384
783	5000	1377
784	5005	1370
785	5010	1364
786	5016	1357
787	5022	1351
788	5027	1344
789	5033	1338
790	5038	1331
791	5043	1324
792	5050	1318
793	5055	1311
794	5060	1305
795	5066	1298
796	5071	1291
797	5077	1285
798	5082	1278
799	5087	1271
800	5092	1265
801	5098	1258
802	5103	1251
803	5108	1245
804	5115	1239
805	5121	1232
806	5129	1226
807	5136	1220
808	5144	1214
809	5151	1208
810	5158	1202
811	5164	1195
812	5170	1189
813	5177	1183
814	5183	1176
815	5189	1170
816	5195	1163
817	5200	1157
818	5205	1150
819	5211	1144
820	5217	1137
821	5222	1130
822	5228	1124
823	5235	1118
824	5241	1111
825	5247	1105
826	5252	1098
827	5259	1092
828	5265	1086
829	5270	1079
830	5276	1073
831	5281	1066
832	5288	1060
833	5295	1054
834	5302	1047
835	5310	1041
836	5314	1035
837	5320	1028
838	5325	1022
839	5330	1015
840	5337	1009
841	5342	1002
842	5347	995
843	5354	989
844	5359	983
845	5364	976
846	5372	970
847	5377	963
848	5383	957
849	5389	951
850	5395	944
851	5400	938
852	5406	931
853	5411	925
854	5416	918
855	5422	912
856	5427	905
857	5432	899
858	5438	892
859	5443	886
860	5448	879
861	5454	873
862	5459	866
863	5464	860
864	5472	854
865	5477	847
866	5483	841
867	5488	834
868	5493	828
869	5499	821
870	5505	815
871	5509	808
872	5515	802
873	5520	795
874	5525	789
875	5530	782
876	5538	776
877	5543	770
878	5550	764
879	5555	757
880	5560	751
881	5567	744
882	5572	738
883	5577	731
884	5583	725
885	5589	719
886	5594	712
887	5600	706
888	5605	699
889	5610	693
890	5616	687
891	5621	680
892	5628	674
893	5634	668
894	5641	661
895	5647	655
896	5652	649
897	5658	642
898	5664	636
899	5670	630
900	5675	623
901	5681	617
902	5686	610
903	5691	604
904	5697	598
905	5702	591
906	5707	585
907	5714	578
908	5719	572
909	5724	566
910	5730	559
911	5736	553
912	5741	547
913	5749	540
914	5756	534
915	5764	528
916	5770	522
917	5779	516
918	5786	509
919	5794	503
920	5800	497
921	5808	491
922	5815	485
923	5821	478
924	5829	472
925	5835	466
926	5843	460
927	5849	453
928	5859	447
929	5865	441
930	5872	435
931	5879	428
932	5884	422
933	5891	416
934	5896	409
935	5901	403
936	5908	397
937	5913	390
938	5918	384
939	5923	378
940	5929	371
941	5934	365
942	5940	359
943	5945	352
944	5950	346
945	5955	339
946	5961	333
947	5966	327
948	5972	320
949	5978	314
950	5983	308
951	5989	301
952	5993	295
953	5998	289
954	6004	282
955	6010	276
956	6015	270
957	6022	264
958	6027	257
959	6033	251
960	6040	245
961	6045	238
962	6050	232
963	6056	226
964	6061	219
965	6065	213
966	6072	207
967	6077	200
968	6082	194
969	6089	188
970	6094	182
971	6099	175
972	6105	169
973	6110	163
974	6115	156
975	6121	150
976	6126	144
977	6133	137
978	6139	131
979	6144	125
980	6150	119
981	6155	112
982	6162	106
983	6168	100
984	6173	94
985	6178	87
986	6184	81
987	6189	75
988	6195	68
989	6201	62
990	6206	56
991	6211	50
992	6217	43
993	6222	37
994	6227	31
995	6234	25
996	6239	18
997	6244	12
998	6250	6
999	6255	0
